  Dados detalhados das AIH - por local internação - Brasil
Valor aprovado por Unidade da Federação e Ano/mês atendimento
Procedimento: 0303170093 TRATAMENTO EM PSIQUIATRIA (POR DIA)
Período:Jan/2008-Mar/2021
"Unidade da Federação";"1992/Mar";"1992/Abr";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1996/Fev";"1996/Ago";"1996/Dez";"1997/Fev";"1998/Fev";"1998/Mar";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5915,23;26280,55;418350,25;180486,21;231178,21;222763,97;228908,05;208736,01;218578,94;248931,81;210191,11;238399,84;243083,62;218916,16;296799,45;196179,20;279382,43;238869,38;245424,66;225947,76;249151,75;251447,58;264515,36;355070,50;256309,00;295026,18;273356,31;274052,14;304419,68;259937,27;345522,90;276090,08;296169,20;246219,61;239062,56;316795,42;270076,18;287918,92;267988,61;342938,23;271616,93;337073,28;297510,83;320289,91;270187,11;237819,83;287123,45;293982,26;212820,09;228516,52;362420,65;281159,19;356293,31;252332,34;286477,38;254941,15;274747,82;381506,25;273803,42;276238,73;251288,92;198903,61;337917,55;250294,84;291099,53;336327,70;274797,60;231209,42;287421,81;242392,55;247412,22;274400,02;187621,70;255165,53;212322,89;200245,75;249747,97;231408,29;248803,99;243386,24;246418,12;287869,08;205514,03;213019,17;206458,29;170822,77;190504,19;154222,49;252730,34;271666,51;230712,66;172413,08;229370,79;166250,12;146369,63;111579,24;127135,49;82056,62;125843,36;198307,82;150246,53;143636,47;103527,49;128527,09;122413,90;99054,34;140306,40;116101,82;129123,60;101241,30;85237,33;104422,05;131956,60;72513,88;76837,96;89114,22;98308,70;151986,10;45824,41;101340,59;86281,29;72315,20;80963,08;81609,30;51490,39;45377,18;26490,69;6411,44;2832,96;-;-;-;-;-;1192,82;-;1341,93;-;-;-;397,61;1391,63;-;7554,58;-;-;-;-;-;-;-;4671,92;4572,50;31460,83;21918,25;5815,05;5715,62;-;1043,71;5019,82;-;27391271,28
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32702,76;77573,85;100558,70;83987,23;233751,12;163800,07;259683,53;244374,38;251093,46;239327,38;246589,30;231033,41;245778,38;253077,07;247472,54;223143,12;233379,54;237993,19;277764,78;261742,26;272444,01;234772,17;242927,94;237718,42;275575,87;270954,72;300646,71;461259,22;313322,81;231684,52;314291,79;282065,30;324372,97;298517,73;294146,96;231786,26;282799,03;247694,39;234334,96;226515,65;220929,87;165387,62;136139,55;127825,08;315757,17;365350,70;290729,35;233166,78;253129,28;532339,49;366764,45;247258,07;253520,26;224917,23;290110,41;256542,04;284434,30;265533,02;264290,45;258977,53;176985,37;502230,41;238038,52;248818,52;239454,60;189062,87;263316,31;225737,34;260657,64;244444,94;241661,61;229370,88;164311,79;427331,15;360930,10;183546,14;232302,80;204062,84;239608,99;254171,56;232486,97;142189,81;122209,97;169182,36;148869,50;442798,04;365552,30;172562,26;199768,44;176289,86;226035,61;175245,99;186031,14;183784,52;218535,76;205329,94;163615,73;432668,99;379965,34;217089,55;217059,64;201289,23;239604,09;209192,02;202730,68;172562,17;200792,40;208545,75;187472,54;335582,21;325343,73;184490,58;228127,59;166945,68;220921,49;165648,69;200201,00;150122,14;149625,12;146031,75;129968,39;362586,21;281606,59;204657,53;236725,22;159718,50;68540,26;60038,85;73905,46;81907,46;90456,12;92145,90;51689,07;67195,88;246269,57;150346,11;116648,40;61430,55;67444,33;93686,61;251885,96;75148,11;111877,22;78378,58;37673,39;221419,01;158000,05;115604,87;331408,03;66599,49;49949,59;7803,06;24204,47;23806,82;70973,40;26639,82;44929,82;56261,75;58448,59;93935,25;85038,70;26937,99;11679,78;33599875,87
"52 Goiás";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1199,87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6270,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1122,46;-;-;-;1309,80;1199,87;-;-;-;-;-;-;-;11148,83;-;869,70;-;-;-;-;-;347,90;497,01;1143,13;-;157,78;-;-;-;-;-;2283,63;118,33;788,92;5281,99;22627,06;513772,57;7020384,67;1189634,06;1242156,07;1186876,48;1064503,45;1378823,98;1285936,94;1361689,91;1085697,98;1401818,04;1218978,13;1208747,50;1315532,80;1165564,71;1439727,83;1318652,02;1421764,65;1279734,51;1331329,78;1565437,83;1354104,61;1660926,82;1601546,59;1662318,81;1660172,85;1486042,44;1783157,02;1601020,67;5993498,08;1549726,82;1680072,07;2040249,66;1731231,54;1575720,58;1534124,09;1475022,51;1766155,22;1389781,33;1562466,11;1393776,90;1584423,52;1521894,85;1727253,56;1618709,15;1542062,84;1591459,08;1679985,41;1425753,89;1735660,20;1416827,56;1929006,03;1530184,06;1694402,65;1571934,29;1578104,91;1594315,65;1447423,39;1633057,93;1620019,64;1358019,16;1694454,51;1422615,27;1450259,71;1494740,25;1318303,42;1212757,58;1453241,23;1307409,22;1969452,57;1251299,97;1357459,81;1036711,16;1059910,94;988052,65;939185,23;969589,93;1038809,83;1066668,07;1018593,75;1014177,78;949229,18;1034399,55;973034,49;1024617,21;1182379,82;880760,06;1353524,48;930713,71;1011327,03;1097272,26;1060244,93;949680,11;1154569,73;984407,60;951644,30;933162,35;919557,90;778338,66;862054,65;780044,76;862711,90;815147,56;713927,26;992792,72;689035,21;733572,59;836704,08;710836,11;897711,45;650560,98;710989,25;651489,77;678893,01;700133,70;646261,37;739225,06;702816,55;642014,44;720021,97;607893,32;777150,27;130553,08;152216,10;151116,25;209930,07;127901,87;137277,43;137212,85;133162,89;199391,96;90541,70;91792,45;107449,85;102769,67;123774,91;78192,01;76587,81;16845,66;17760,60;23761,53;65364,39;90040,86;64584,00;49191,48;65498,94;43109,82;52662,87;34364,07;41414,49;55165,50;66790,62;45585,54;44132,40;29439,54;32193,42;7292,61;41575,95;11948,04;646,11;163658526,55
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2535,09;50743,26;75164,65;94642,22;105712,22;118472,04;98487,05;87924,51;119678,84;108535,27;112031,24;140160,31;106379,01;118667,71;112529,00;118741,14;126311,00;144529,82;135895,25;141708,29;149909,75;157706,99;156264,26;159119,80;151239,95;191994,83;153923,77;171219,67;124600,33;131409,23;162820,46;157999,62;152085,24;185732,84;176090,79;151488,64;151836,56;146518,52;158794,80;130062,40;144729,43;124848,90;120524,95;63219,39;83547,07;112025,62;152830,25;115057,48;128178,45;107105,35;115748,25;131160,49;133198,16;136031,28;138864,40;133745,19;127880,76;131906,47;132800,84;128079,16;126687,72;65903,36;116349,94;136329,72;137075,06;156210,03;141896,27;104571,02;133645,91;134341,73;135136,87;141747,24;148755,11;135286,13;142741,15;149550,36;135136,78;143089,04;133347,76;158248,07;158695,45;158496,53;164709,03;152880,35;156160,60;128377,81;129371,74;69630,92;113020,10;137125,16;147661,72;147313,77;149649,87;153228,24;163267,86;158595,97;151041,52;141548,70;139560,68;135932,31;136478,88;-;144083,27;144083,44;131359,88;145872,67;147562,43;126688,05;120027,98;124401,91;130365,79;130167,00;117194,78;117940,50;109690,15;111827,22;104968,62;112175,00;114709,77;109043,91;107851,13;103626,63;90058,02;108845,28;94829,35;5467,11;3876,64;-;-;-;397,61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16127058,88
"Total";40218,96;11392,04;39809,34;19904,67;19904,67;23374,12;19904,67;24509,71;19442,14;10536,67;14672,77;37331,15;19904,67;38882,55;16133,26;2750,47;642995,16;1274027,05;1357948,46;18977,88;26050,45;23253,09;39809,34;19904,67;19904,67;30441,34;45758,75;20502,61;92473,45;9622,24;34934,39;26674,38;6769,62;20043,22;1788,85;25944,19;79772,34;40323,89;3141,69;1313,48;26329,35;4659,42;208420,59;377559,34;18515,35;55690,25;19904,67;5914,46;18977,88;45220,94;97349,49;11116,57;37218,28;23589,47;12295,07;18977,88;18977,88;57860,43;28576,12;19904,67;19904,67;38521,64;6270,30;20036,99;5197,08;19904,67;19904,67;56624,28;777,31;38882,55;63994,76;57860,43;37955,76;14921,83;19904,67;54089,02;55246,28;80232,63;57860,43;75911,52;19904,67;20100,34;79117,21;21341,63;3285,90;11422,95;15949,00;242614,46;26307,48;12288,96;39809,34;22535,88;9589,44;21188,51;102318,28;43019,34;45589,01;42651,25;24913,67;54399,27;22855,46;1161,17;23930,46;844,91;1442,30;31338,56;34880,13;65982,88;45024,17;24218,60;3547,31;67621,32;58701,75;54810,13;216702,90;669375,04;1692597,42;8050704,63;771351954,63;35222706,07;30284519,12;29104114,55;27118216,04;27907963,42;43403072,50;29921524,80;28327927,22;29531777,84;26137012,83;29391292,26;61390840,12;24613617,19;30194837,58;28159054,88;30295439,32;28652333,20;30445636,01;29337118,09;28533330,45;30576350,02;29747480,57;32741360,10;74459344,44;27860611,74;33232647,59;50470824,74;40975332,47;29163186,92;31618559,63;35260070,07;34413111,27;33860806,80;32707556,71;30535773,51;49332838,13;35422627,63;30954953,24;28407158,08;30469560,58;29654990,74;32373230,09;34810682,85;29885522,82;30962117,43;28241665,25;27929760,52;36815817,24;24825170,28;29010101,65;28727343,80;28159731,50;27725724,39;29412032,09;29228135,73;24290260,46;27605299,90;24974828,12;23499524,23;45118944,96;24596699,91;27681202,19;26010716,19;25954271,12;22614493,36;25221249,35;25157605,58;24121909,59;29338732,17;22393188,60;21630341,14;44176684,43;22098308,14;21253637,87;20664025,88;22150226,57;19693393,34;26708311,60;27950868,50;26544898,39;20391200,12;18801046,42;24272848,11;23739928,08;15979478,59;20458629,54;17980038,44;18681469,89;20679226,12;20708027,26;19577458,29;18582347,35;17209775,65;17777416,31;16462620,06;18888026,53;15047327,39;16940385,38;15433293,52;15286173,89;15304787,55;27736313,87;16479509,19;14846615,63;14866435,51;14345074,46;14532552,11;19243168,42;13170842,55;14786915,73;12513986,90;14258237,20;12840352,58;13161599,61;20384037,20;13183296,48;15371522,15;12946603,10;12249428,12;16043204,86;7722618,08;7240739,59;6344515,90;6173020,55;4751231,50;5365378,11;4976321,43;3607933,59;4557052,71;3987229,42;3776306,90;4673632,41;3366418,96;3409376,94;3320461,08;3428319,46;3740901,76;3392097,98;2891707,52;3178894,23;3518797,23;3303840,09;3162647,51;4273609,84;3027688,87;2623294,56;1805136,03;1563339,78;2196320,57;2228509,23;2143132,82;2422549,62;2707663,05;2159738,74;2169430,70;2177676,68;1394822,72;677789,52;4053363628,57
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
